uid,area,gerente,fecha,banda,calificacion,salario,seguro
A07301,Software,Mayra Stead  ,2013-01-04,Banda 17,3,23670.0,1420.2
A07302,Finanzas,Alysia Thaxton  ,2016-12-12,Banda 15,4,16418.6,1149.302
A07304,Ventas,Hanh Kohut  ,2012-10-31,Banda 15,3,14243.0,1281.87
A07308,Ventas,Daysi Armas  ,2016-09-06,Banda 15,1,8013.75,721.2375
A07310,Hardware,Justa Boer  ,2016-11-26,Banda 15,2,13760.1,1376.01
A07318,Hardware,Anastacia Delacruz  ,2015-03-19,Banda 17,4,30665.8,1533.29
A07322,Assembly,Clara Lamas  ,2013-04-08,Banda 17,3,29104.0,2037.28
A07325,Assembly,Aisha Fermin  ,2011-05-01,Banda 15,3,9373.0,937.3
A07334,Software,Concepcion Sevin  ,2017-01-20,Banda 16,4,23521.3,2116.917
A07335,Software,Hanh Kohut  ,2016-08-15,Banda 15,2,8037.0,723.33
A07338,Assembly,Margurite Everton  ,2017-05-03,Banda 15,3,8313.0,581.91
A07341,Finanzas,Willian LaRH  ,2016-04-09,Banda 17,4,27421.9,2742.19
A07342,Assembly,Sandy Faison  ,2017-09-17,Banda 17,3,23770.0,2139.3
A07343,Assembly,Sha Desimone  ,2012-07-10,Banda 18,2,33138.0,3313.8
A07345,Hardware,Jeni Buchman  ,2016-07-19,Banda 16,4,22991.1,1379.4660000000001
A07347,Business Services,Margarete Sauer  ,2017-09-07,Banda 16,3,17358.0,1562.22
A07353,Assembly,Wade Landen  ,2012-07-04,Banda 15,3,10425.0,625.5
A07362,Software,Lynne Gainey  ,2015-08-28,Banda 17,3,32906.0,2632.48
A07363,Hardware,Jeane Putney  ,2014-09-20,Banda 15,2,12902.4,1032.192
A07365,Hardware,Margurite Everton  ,2011-10-17,Banda 18,4,43576.5,2614.59
A07366,Assembly,Idell Ding  ,2012-09-18,Banda 18,3,34898.0,3140.82
A07370,Software,Gerente,2017-05-04,Banda 16,3,19214.0,1921.4
A07373,Assembly,Audrea Franke  ,2016-05-04,Banda 16,3,20509.0,1435.63
A07378,Hardware,January Heslop  ,2015-02-05,Banda 16,2,14130.0,989.1
A07381,Finanzas,Aisha Fermin  ,2016-06-07,Banda 15,3,8361.0,418.05
A07385,Ventas,Margareta Schwing  ,2017-10-28,Banda 15,3,14956.0,1346.04
A07387,Ventas,Alysia Thaxton  ,2017-04-27,Banda 15,2,12642.3,1137.807
