uid,area,gerente,fecha,banda,calificacion,salario,seguro,vales
R08339,Gerencia,Leontine Longacre  ,41736,Banda 17,4,35807.2,2506.504,2148.432
L07875,Gerencia,Sterling Huston  ,42399,Banda 15,2,12090.6,725.436,1692.684
L08355,Gerencia,Alysia Thaxton  ,41604,Banda 15,3,11959,597.95,1315.49
R-8499,Gerencia,Jayme Tolleson  ,40955,Banda 17,3,31466,1573.3,1887.96
R07510,Gerencia,Audrea Franke  ,41395,Banda 15,2,13122.9,787.374,131.229
L07534,Gerencia,Janene Wellman  ,41687,Banda 16,5,24968.75,1498.125,249.6875
R07493,Gerencia,Lyla Falzone  ,40692,Banda 15,3,14519,1451.9,725.95
G07518,Gerencia,Lyla Falzone  ,40881,Banda 15,2,9736.2,584.172,97.362
L07484,Gerencia,Sandy Mcgrady  ,42513,Banda 16,4,19694.4,984.72,1181.664
A-8429,Gerencia,Shenika Lamont  ,43037,Banda 15,2,11297.7,903.816,112.977
R07300,Gerencia,Johnette Chapple  ,42519,Banda 15,3,14857,1188.56,2228.55
R07740,Gerencia,Jeane Putney  ,42675,Banda 15,3,14478,1303.02,1592.58
A07347,Gerencia,Nathalie Boettcher  ,43032,Banda 15,5,12718.75,763.125,1144.6875
R07687,Gerencia,Elma Matheney  ,41799,Banda 17,3,29531,2953.1,3543.72
L08200,Gerencia,Tanner Cambridge  ,42031,Banda 16,4,19200.5,1536.04,2112.055
L-7692,Gerencia,Earnest Anderton  ,41726,Banda 16,3,15405,1078.35,308.1
G-7574,Gerencia,January Heslop  ,42877,Banda 15,2,11031.3,992.817,330.939
A08030,Gerencia,Janene Wellman  ,42003,Banda 18,3,41497,4149.7,2074.85
A07732,Gerencia,Saundra Smiddy  ,41488,Banda 20,2,100134.9,7009.443,15020.235
G-7546,Gerencia,Ladawn Karner  ,41288,Banda 15,3,12080,604,845.6
L08308,Gerencia,Jeni Buchman  ,41456,Banda 15,2,9681.3,774.504,290.439
L07541,Gerencia,Oneida Cosio  ,40888,Banda 16,3,14989,1199.12,1798.68
R07706,Gerencia,Santa Brister  ,42826,Banda 16,4,17719.9,1240.393,1771.99
G07737,Gerencia,Porsche Lockamy  ,41756,Banda 15,4,11936.1,835.527,1432.332
L-7940,Gerencia,Enrique KeRHer  ,42707,Banda 15,5,18055,1263.85,2347.15
R-8477,Gerencia,Kristan Botelho  ,42875,Banda 15,4,15160.2,1061.214,1819.224
G07642,Gerencia,Adelia Monty  ,41205,Banda 18,5,51185,2559.25,3582.95
R-7652,Gerencia,Aretha Newbern  ,42208,Banda 15,2,11016,881.28,660.96
L08035,Gerencia,Della Muniz  ,42169,Banda 15,3,12495,749.7,1374.45
G07892,Gerencia,Elayne Gauger  ,42633,Banda 16,3,19600,980,2156
R-7942,Gerencia,Pandora Chang  ,41909,Banda 17,2,25893.9,1812.573,258.939
L-8500,Gerencia,Margarete Sauer  ,42782,Banda 15,4,13072.4,653.62,1830.136
A07468,Gerencia,Wade Landen  ,40812,Banda 17,3,31397,2825.73,4395.58
R07523,Gerencia,Saundra Smiddy  ,42326,Banda 15,1,7209.75,360.4875,288.39
A-7398,Gerencia,Marinda Skelley  ,41880,Banda 16,3,16476,988.56,659.04
G07461,Gerencia,Sha Desimone  ,42129,Banda 20,4,111559.8,8924.784,13387.176
L07804,Gerencia,Edyth Judkins  ,41855,Banda 18,3,33274,1996.44,2661.92
G08456,Gerencia,Laverna Goble  ,42290,Banda 17,3,31870,3187,4143.1
A08233,Gerencia,Gemma Percell  ,40973,Banda 16,1,16816.5,1513.485,504.495
L-7993,Gerencia,Sterling Huston  ,40745,Banda 15,3,11236,1011.24,1011.24
R-8356,Gerencia,Janene Wellman  ,42640,Banda 17,2,28531.8,1711.908,855.954
G-7799,Gerencia,Mayme Gorney  ,42467,Banda 15,3,12412,1117.08,1737.68
G-7672,Gerencia,Tomoko Vierra  ,40934,Banda 16,3,19299,1929.9,1543.92
L-8307,Gerencia,Kandace Navin  ,41194,Banda 16,3,21595,1727.6,2591.4
L-7604,Gerencia,Aretha Newbern  ,42199,Banda 18,2,37330.2,1866.51,5226.228
L08128,Gerencia,Lyla Falzone  ,42789,Banda 15,4,9676.7,774.136,1064.437
G-8292,Gerencia,Tomoko Parente  ,42286,Banda 17,3,23093,2078.37,2771.16
L-8052,Gerencia,Adelia Monty  ,42019,Banda 16,4,21990.1,1319.406,1539.307
R07724,Gerencia,Clara Lamas  ,40678,Banda 16,4,24838,1738.66,2235.42
G-7828,Gerencia,Ladawn Karner  ,42922,Banda 16,3,21884,1094.2,1969.56
L-7307,Gerencia,Valeria Boothby  ,41489,Banda 15,2,8438.4,843.84,168.768
L08032,Gerencia,Kimberely Houtz  ,42077,Banda 15,5,18256.25,1460.5,1643.0625
A-8035,Gerencia,Anastacia Delacruz  ,41709,Banda 19,2,47468.7,4746.87,6170.931
L-7484,Gerencia,Susanna Vosburgh  ,42991,Banda 17,3,30323,1516.15,3638.76
L07601,Gerencia,Mary Herb  ,42026,Banda 15,2,9241.2,462.06,369.648
